PCODE,NAME,ST_PCODE,FILL_COLOR,BORDER_COLOR,BORDER_WIDTH,LABEL,CATEGORY,LABEL_COLOR,DESCRIPTION
MMR014006,Pindaya,MMR014,,,1.5,Pindaya,,#333333,
MMR014007,Ywangan,MMR014,,,1.5,Ywangan,,#333333,
MMR014018,Langkho,MMR014,,,1.5,Langkho,,#333333,
MMR014020,Mawkmai,MMR014,,,1.5,Mawkmai,,#333333,
MMR014019,Mongnai,MMR014,,,1.5,Mongnai,,#333333,
MMR014021,Mongpan,MMR014,,,1.5,Mongpan,,#333333,
MMR014014,Kunhing,MMR014,,,1.5,Kunhing,,#333333,
MMR014015,Kyethi,MMR014,,,1.5,Kyethi,,#333333,
MMR014012,Laihka,MMR014,,,1.5,Laihka,,#333333,
MMR014011,Loilen,MMR014,,,1.5,Loilen,,#333333,
MMR014017,Monghsu,MMR014,,,1.5,Monghsu,,#333333,
MMR014016,Mongkaing,MMR014,,,1.5,Mongkaing,,#333333,
MMR014013,Nansang,MMR014,,,1.5,Nansang,,#333333,
MMR014003,Hopong,MMR014,,,1.5,Hopong,,#333333,
MMR014004,Hsihseng,MMR014,,,1.5,Hsihseng,,#333333,
MMR014009,Pinlaung,MMR014,,,1.5,Pinlaung,,#333333,
MMR014005,Kalaw,MMR014,,,1.5,Kalaw,,#333333,
MMR014008,Lawksawk,MMR014,,,1.5,Lawksawk,,#333333,
MMR014002,Nyaungshwe,MMR014,,,1.5,Nyaungshwe,,#333333,
MMR014010,Pekon,MMR014,,,1.5,Pekon,,#333333,
MMR014001,Taunggyi,MMR014,,,1.5,Taunggyi,,#333333,
MMR006001,Dawei,MMR006,#66BB6A,#2E7D32,1.5,Dawei,Coastal,#333333,
MMR006002,Launglon,MMR006,#66BB6A,#2E7D32,1.5,Launglon,Coastal,#333333,
MMR006003,Thayetchaung,MMR006,#66BB6A,#2E7D32,1.5,Thayetchaung,Coastal,#333333,
MMR006004,Yebyu,MMR006,#66BB6A,#2E7D32,1.5,Yebyu,Coastal,#333333,
MMR006010,Bokpyin,MMR006,#66BB6A,#2E7D32,1.5,Bokpyin,Coastal,#333333,
